id,khxx_id,zdmc
610,142,富兴商砼
611,86,枣阳金龙水泥厂
612,184,胜辉滠口站
613,232,武东工地
614,129,盛大沌口站
615,347,中阳明黄陂站
616,129,建安
617,232,汤逊湖工地
618,129,盛大三眼桥
619,414,自提
620,378,青山驰骋
621,415,鑫君和
622,416,自提
623,416,自提
624,416,自提
625,416,省构青化商砼
626,232,鑫盛墙材
627,417,海剑高新
629,418,鑫超强
630,419,宏阳
631,420,世纪领航板材厂
632,421,瀚翔商砼
633,422,源锦青山站
634,422,源锦青山运费
635,423,江夏
636,378,汉阳源锦
637,62,湖北申兴建筑
638,424,祝站
639,425,浙江鸿鄂建材
641,425,鸿鄂建材
642,426,光谷六路工地
643,427,东城垸
644,428,荆门均悦建材
645,76,怡丰九峰
646,76,蔡甸砖厂
647,315,怡丰南湖站
648,429,远大祝站
649,429,远大毛陈
650,430,宏奕众拓青山站
651,431,顺屹达
652,432,慧通源商贸
653,382,自提卖货
654,433,自提
655,85,中阳明武湖站
656,434,新中环汉阳站
657,76,盛大三眼桥
658,411,华天混凝土
659,76,华发砖厂
660,435,东方明浒
661,207,汪集陶总制管厂
662,436,军山
663,436,军山
664,436,军山
665,242,自提
666,437,顺旺港
667,365,顺旺港
668,180,新龙工业园
669,184,联润建材
670,438,晟世混凝土
671,324,新中环蔡甸站
672,439,晨建
674,440,武汉鑫路远
676,441,润熙建材
677,125,新天地配送
678,442,左岭
679,112,惠涛
680,112,广厦
681,216,新宏基
682,216,凤凰商砼
683,216,欣丰药厂
684,216,凯源顺再生资源
685,112,黄陂中阳明
686,432,石咀水稳站
687,443,自提
689,432,汉川东虹建材
692,445,运输部
693,298,新豹诚跃
694,432,云梦316国道搅拌站
695,76,汉阳楚凌
696,432,铁机路工地
697,180,自提
698,112,汉阳中村
699,411,滨湖大道
700,112,中村（金浩）
701,152,建安商砼
702,446,湖北白兆山
703,172,武汉君善建商砼
704,172,武汉华安军山站
705,76,华新汉川站
706,21,武汉华安军山站
707,129,亿方
710,447,昊胜
711,448,自提
712,449,武汉联盟商砼
713,426,绿色路工地
714,450,自提
715,152,建一学校
716,451,大展商砼
717,112,建宁
718,452,中砼黄陂站
719,211,吉签砖厂
720,453,联丰盛哒
721,142,天夏商砼
722,446,湖北白兆山
723,74,湖北众佳
